ID,user_id,body,category
1,78,生物学において生物の系統群の一つ。「動物」という言葉がつく分類群名としては後生動物や原生動物があるが、本稿でいう「動物」は後生動物の方を指す。後者は進化的に異なる雑多な生物をまとめたグループ（多系統群）であり、いずれも後生動物とは別系統である。日常語において、動物とは1.の意味の動物のうち、ヒト以外のもの。特に哺乳類に属する生物を指す事が多い。,トラ
2,67,生物学において生物の系統群の一つ。「動物」という言葉がつく分類群名としては後生動物や原生動物があるが、本稿でいう「動物」は後生動物の方を指す。後者は進化的に異なる雑多な生物をまとめたグループ（多系統群）であり、いずれも後生動物とは別系統である。日常語において、動物とは2.の意味の動物のうち、ヒト以外のもの。特に哺乳類に属する生物を指す事が多い。,ライオン
3,22,生物学において生物の系統群の一つ。「動物」という言葉がつく分類群名としては後生動物や原生動物があるが、本稿でいう「動物」は後生動物の方を指す。後者は進化的に異なる雑多な生物をまとめたグループ（多系統群）であり、いずれも後生動物とは別系統である。日常語において、動物とは3.の意味の動物のうち、ヒト以外のもの。特に哺乳類に属する生物を指す事が多い。,チンチラ
4,57,生物学において生物の系統群の一つ。「動物」という言葉がつく分類群名としては後生動物や原生動物があるが、本稿でいう「動物」は後生動物の方を指す。後者は進化的に異なる雑多な生物をまとめたグループ（多系統群）であり、いずれも後生動物とは別系統である。日常語において、動物とは4.の意味の動物のうち、ヒト以外のもの。特に哺乳類に属する生物を指す事が多い。,シロナガスクジラ
5,7,生物学において生物の系統群の一つ。「動物」という言葉がつく分類群名としては後生動物や原生動物があるが、本稿でいう「動物」は後生動物の方を指す。後者は進化的に異なる雑多な生物をまとめたグループ（多系統群）であり、いずれも後生動物とは別系統である。日常語において、動物とは5.の意味の動物のうち、ヒト以外のもの。特に哺乳類に属する生物を指す事が多い。,チンパンジー
6,87,生物学において生物の系統群の一つ。「動物」という言葉がつく分類群名としては後生動物や原生動物があるが、本稿でいう「動物」は後生動物の方を指す。後者は進化的に異なる雑多な生物をまとめたグループ（多系統群）であり、いずれも後生動物とは別系統である。日常語において、動物とは6.の意味の動物のうち、ヒト以外のもの。特に哺乳類に属する生物を指す事が多い。,ボノボ
7,47,生物学において生物の系統群の一つ。「動物」という言葉がつく分類群名としては後生動物や原生動物があるが、本稿でいう「動物」は後生動物の方を指す。後者は進化的に異なる雑多な生物をまとめたグループ（多系統群）であり、いずれも後生動物とは別系統である。日常語において、動物とは7.の意味の動物のうち、ヒト以外のもの。特に哺乳類に属する生物を指す事が多い。,レッサーパンダ
8,23,生物学において生物の系統群の一つ。「動物」という言葉がつく分類群名としては後生動物や原生動物があるが、本稿でいう「動物」は後生動物の方を指す。後者は進化的に異なる雑多な生物をまとめたグループ（多系統群）であり、いずれも後生動物とは別系統である。日常語において、動物とは8.の意味の動物のうち、ヒト以外のもの。特に哺乳類に属する生物を指す事が多い。,ラッコ
9,31,生物学において生物の系統群の一つ。「動物」という言葉がつく分類群名としては後生動物や原生動物があるが、本稿でいう「動物」は後生動物の方を指す。後者は進化的に異なる雑多な生物をまとめたグループ（多系統群）であり、いずれも後生動物とは別系統である。日常語において、動物とは9.の意味の動物のうち、ヒト以外のもの。特に哺乳類に属する生物を指す事が多い。,アオウミガメ
10,51,生物学において生物の系統群の一つ。「動物」という言葉がつく分類群名としては後生動物や原生動物があるが、本稿でいう「動物」は後生動物の方を指す。後者は進化的に異なる雑多な生物をまとめたグループ（多系統群）であり、いずれも後生動物とは別系統である。日常語において、動物とは10.の意味の動物のうち、ヒト以外のもの。特に哺乳類に属する生物を指す事が多い。,タイマイ
